"MsgBytes","Vectors","MinCycles","AvgCycles","MaxCycles","MinThroughputMbps","AvgThroughputMbps","MaxThroughputMbps"
"0","33","181","209.364","253","0","0","0"
"1","33","181","209.364","253","3.162055","3.860882","4.41989"
"2","33","181","209.364","253","6.324111","7.721764","8.839779"
"3","33","181","209.364","253","9.486166","11.582646","13.259669"
"4","33","181","209.364","253","12.648221","15.443528","17.679558"
"5","33","181","209.364","253","15.810277","19.30441","22.099448"
"6","33","181","209.364","253","18.972332","23.165292","26.519337"
"7","33","181","209.364","253","22.134387","27.026174","30.939227"
"8","33","199","227.364","271","23.616236","28.396705","32.160804"
"9","33","199","227.364","271","26.568266","31.946293","36.180905"
"10","33","199","227.364","271","29.520295","35.49588","40.201005"
"11","33","199","227.364","271","32.472325","39.045469","44.221106"
"12","33","199","227.364","271","35.424354","42.595057","48.241206"
"13","33","199","227.364","271","38.376384","46.144645","52.261307"
"14","33","199","227.364","271","41.328413","49.694233","56.281407"
"15","33","199","227.364","271","44.280443","53.243821","60.301508"
"16","33","217","245.364","289","44.290657","52.561442","58.986175"
"17","33","217","245.364","289","47.058824","55.846533","62.672811"
"18","33","217","245.364","289","49.82699","59.131623","66.359447"
"19","33","217","245.364","289","52.595156","62.416713","70.046083"
"20","33","217","245.364","289","55.363322","65.701803","73.732719"
"21","33","217","245.364","289","58.131488","68.986893","77.419355"
"22","33","217","245.364","289","60.899654","72.271983","81.105991"
"23","33","217","245.364","289","63.66782","75.557074","84.792627"
"24","33","235","263.364","307","62.540717","73.380301","81.702128"
"25","33","235","263.364","307","65.14658","76.437813","85.106383"
"26","33","235","263.364","307","67.752443","79.495326","88.510638"
"27","33","235","263.364","307","70.358306","82.552838","91.914894"
"28","33","235","263.364","307","72.964169","85.610351","95.319149"
"29","33","235","263.364","307","75.570033","88.667863","98.723404"
"30","33","235","263.364","307","78.175896","91.725376","102.12766"
"31","33","235","263.364","307","80.781759","94.782888","105.531915"
"32","33","253","281.364","325","78.769231","91.506862","101.185771"
