"Count","ZBytes","MsgBytes","OutBits","StartCycle","DoneCycle","Cycles","ThroughputMbps"
"1","0","0","512","3","184","181","0"
"2","1","0","512","187","368","181","0"
"3","2","0","512","371","552","181","0"
"4","3","0","512","555","736","181","0"
"5","4","0","512","739","920","181","0"
"6","5","0","512","923","1104","181","0"
"7","6","0","512","1107","1288","181","0"
"8","7","0","512","1291","1472","181","0"
"9","8","0","512","1475","1674","199","0"
"10","9","0","512","1677","1876","199","0"
"11","10","0","512","1879","2078","199","0"
"12","11","0","512","2081","2280","199","0"
"13","12","0","512","2283","2482","199","0"
"14","13","0","512","2485","2684","199","0"
"15","14","0","512","2687","2886","199","0"
"16","15","0","512","2889","3088","199","0"
"17","16","0","512","3091","3308","217","0"
"18","17","0","512","3311","3528","217","0"
"19","18","0","512","3531","3748","217","0"
"20","19","0","512","3751","3968","217","0"
"21","20","0","512","3971","4188","217","0"
"22","21","0","512","4191","4408","217","0"
"23","22","0","512","4411","4628","217","0"
"24","23","0","512","4631","4848","217","0"
"25","24","0","512","4851","5086","235","0"
"26","25","0","512","5089","5324","235","0"
"27","26","0","512","5327","5562","235","0"
"28","27","0","512","5565","5800","235","0"
"29","28","0","512","5803","6038","235","0"
"30","29","0","512","6041","6276","235","0"
"31","30","0","512","6279","6514","235","0"
"32","31","0","512","6517","6752","235","0"
"33","32","0","512","6755","7008","253","0"
"34","0","1","512","7011","7192","181","4.41989"
"35","1","1","512","7195","7376","181","4.41989"
"36","2","1","512","7379","7560","181","4.41989"
"37","3","1","512","7563","7744","181","4.41989"
"38","4","1","512","7747","7928","181","4.41989"
"39","5","1","512","7931","8112","181","4.41989"
"40","6","1","512","8115","8296","181","4.41989"
"41","7","1","512","8299","8480","181","4.41989"
"42","8","1","512","8483","8682","199","4.020101"
"43","9","1","512","8685","8884","199","4.020101"
"44","10","1","512","8887","9086","199","4.020101"
"45","11","1","512","9089","9288","199","4.020101"
"46","12","1","512","9291","9490","199","4.020101"
"47","13","1","512","9493","9692","199","4.020101"
"48","14","1","512","9695","9894","199","4.020101"
"49","15","1","512","9897","10096","199","4.020101"
"50","16","1","512","10099","10316","217","3.686636"
"51","17","1","512","10319","10536","217","3.686636"
"52","18","1","512","10539","10756","217","3.686636"
"53","19","1","512","10759","10976","217","3.686636"
"54","20","1","512","10979","11196","217","3.686636"
"55","21","1","512","11199","11416","217","3.686636"
"56","22","1","512","11419","11636","217","3.686636"
"57","23","1","512","11639","11856","217","3.686636"
"58","24","1","512","11859","12094","235","3.404255"
"59","25","1","512","12097","12332","235","3.404255"
"60","26","1","512","12335","12570","235","3.404255"
"61","27","1","512","12573","12808","235","3.404255"
"62","28","1","512","12811","13046","235","3.404255"
"63","29","1","512","13049","13284","235","3.404255"
"64","30","1","512","13287","13522","235","3.404255"
"65","31","1","512","13525","13760","235","3.404255"
"66","32","1","512","13763","14016","253","3.162055"
"67","0","2","512","14019","14200","181","8.839779"
"68","1","2","512","14203","14384","181","8.839779"
"69","2","2","512","14387","14568","181","8.839779"
"70","3","2","512","14571","14752","181","8.839779"
"71","4","2","512","14755","14936","181","8.839779"
"72","5","2","512","14939","15120","181","8.839779"
"73","6","2","512","15123","15304","181","8.839779"
"74","7","2","512","15307","15488","181","8.839779"
"75","8","2","512","15491","15690","199","8.040201"
"76","9","2","512","15693","15892","199","8.040201"
"77","10","2","512","15895","16094","199","8.040201"
"78","11","2","512","16097","16296","199","8.040201"
"79","12","2","512","16299","16498","199","8.040201"
"80","13","2","512","16501","16700","199","8.040201"
"81","14","2","512","16703","16902","199","8.040201"
"82","15","2","512","16905","17104","199","8.040201"
"83","16","2","512","17107","17324","217","7.373272"
"84","17","2","512","17327","17544","217","7.373272"
"85","18","2","512","17547","17764","217","7.373272"
"86","19","2","512","17767","17984","217","7.373272"
"87","20","2","512","17987","18204","217","7.373272"
"88","21","2","512","18207","18424","217","7.373272"
"89","22","2","512","18427","18644","217","7.373272"
"90","23","2","512","18647","18864","217","7.373272"
"91","24","2","512","18867","19102","235","6.808511"
"92","25","2","512","19105","19340","235","6.808511"
"93","26","2","512","19343","19578","235","6.808511"
"94","27","2","512","19581","19816","235","6.808511"
"95","28","2","512","19819","20054","235","6.808511"
"96","29","2","512","20057","20292","235","6.808511"
"97","30","2","512","20295","20530","235","6.808511"
"98","31","2","512","20533","20768","235","6.808511"
"99","32","2","512","20771","21024","253","6.324111"
"100","0","3","512","21027","21208","181","13.259669"
"101","1","3","512","21211","21392","181","13.259669"
"102","2","3","512","21395","21576","181","13.259669"
"103","3","3","512","21579","21760","181","13.259669"
"104","4","3","512","21763","21944","181","13.259669"
"105","5","3","512","21947","22128","181","13.259669"
"106","6","3","512","22131","22312","181","13.259669"
"107","7","3","512","22315","22496","181","13.259669"
"108","8","3","512","22499","22698","199","12.060302"
"109","9","3","512","22701","22900","199","12.060302"
"110","10","3","512","22903","23102","199","12.060302"
"111","11","3","512","23105","23304","199","12.060302"
"112","12","3","512","23307","23506","199","12.060302"
"113","13","3","512","23509","23708","199","12.060302"
"114","14","3","512","23711","23910","199","12.060302"
"115","15","3","512","23913","24112","199","12.060302"
"116","16","3","512","24115","24332","217","11.059908"
"117","17","3","512","24335","24552","217","11.059908"
"118","18","3","512","24555","24772","217","11.059908"
"119","19","3","512","24775","24992","217","11.059908"
"120","20","3","512","24995","25212","217","11.059908"
"121","21","3","512","25215","25432","217","11.059908"
